Postcode,Count
11697,30
11694,3572
11693,1169
11692,2013
11691,5718
11451,12
11436,2407
11435,4595
11434,8274
11433,3745
11432,6958
11430,37
11429,2912
11428,2838
11427,4377
11426,5121
11423,3591
11422,6324
11421,2855
11420,5494
11419,2805
11418,3391
11417,3666
11416,1790
11415,1743
11414,4650
11413,7470
11412,4697
11411,3229
11385,10937
11379,4893
11378,4033
11377,5651
11375,7059
11374,3084
11373,4204
11372,3295
11371,129
11370,3179
11369,3296
11368,4346
11367,5221
11366,3013
11365,7428
11364,7054
11363,2851
11362,4429
11361,6181
11360,2498
11358,6928
11357,9449
11356,3099
11355,5287
11354,5824
11251,93
11249,1842
11239,988
11238,3872
11237,2948
11236,6859
11235,5157
11234,11253
11233,4732
11232,2110
11231,3660
11230,7336
11229,6099
11228,3785
11226,3875
11225,2868
11224,1949
11223,5981
11222,3704
11221,5098
11220,4677
11219,4463
11218,4868
11217,3244
11216,3512
11215,6360
11214,4341
11213,3652
11212,4205
11211,4143
11210,5452
11209,6201
11208,8245
11207,8634
11206,4068
11205,2640
11204,4731
11203,5141
11201,4514
11109,92
11106,1964
11105,3925
11104,1664
11103,2376
11102,1742
11101,3387
11096,9
11040,865
11005,168
11004,4130
11001,1371
10475,1865
10474,2644
10473,4369
10472,3430
10471,1903
10470,1388
10469,6710
10468,2990
10467,4355
10466,5088
10465,5183
10464,1062
10463,3723
10462,4234
10461,5636
10460,3261
10459,3078
10458,3405
10457,4175
10456,4085
10455,2044
10454,1755
10453,3050
10452,3320
10451,2450
10314,16905
10312,22186
10310,3629
10309,12650
10308,7116
10307,5451
10306,13030
10305,6855
10304,5855
10303,3238
10302,2369
10301,6034
10282,234
10281,72
10280,418
10128,2136
10115,7
10111,25
10075,899
10069,119
10065,1911
10048,12
10040,1560
10039,801
10038,374
10037,698
10036,894
10035,2010
10034,1574
10033,1971
10032,2217
10031,2587
10030,1365
10029,2423
10028,1806
10027,2992
10026,1829
10025,3696
10024,3311
10023,2260
10022,1627
10021,1959
10020,94
10019,1715
10018,485
10017,848
10016,1872
10014,2591
10013,1202
10012,1076
10011,2134
10010,889
10009,1924
10007,355
10006,53
10005,144
10004,118
10003,2025
10002,2265
10001,911
83,935
